image_id,pred_label
0.0,0.0
1.0,0.0
2.0,1.0
3.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
10.0,0.0
16.0,0.0
21.0,1.0
23.0,1.0
24.0,1.0
30.0,0.0
31.0,0.0
37.0,0.0
40.0,1.0
43.0,1.0
44.0,1.0
45.0,1.0
46.0,1.0
47.0,0.0
48.0,0.0
49.0,1.0
51.0,1.0
53.0,1.0
55.0,0.0
56.0,1.0
60.0,0.0
63.0,0.0
73.0,1.0
74.0,1.0
76.0,0.0
83.0,1.0
84.0,1.0
85.0,1.0
86.0,1.0
87.0,1.0
89.0,1.0
92.0,1.0
93.0,0.0
94.0,0.0
96.0,1.0
99.0,0.0
100.0,0.0
102.0,0.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,1.0
121.0,0.0
131.0,1.0
132.0,0.0
141.0,1.0
143.0,1.0
144.0,1.0
147.0,0.0
151.0,1.0
152.0,1.0
163.0,0.0
167.0,0.0
168.0,1.0
176.0,0.0
181.0,0.0
185.0,1.0
203.0,1.0
204.0,0.0
217.0,0.0
230.0,1.0
238.0,0.0
242.0,0.0
251.0,1.0
254.0,1.0
255.0,0.0
256.0,1.0
258.0,1.0
260.0,1.0
271.0,1.0
277.0,1.0
283.0,1.0
286.0,0.0
289.0,1.0
291.0,1.0
295.0,1.0
298.0,1.0
300.0,0.0
304.0,1.0
308.0,1.0
309.0,1.0
311.0,1.0
320.0,1.0
325.0,0.0
337.0,0.0
342.0,1.0
344.0,1.0
349.0,0.0
351.0,0.0
354.0,0.0
355.0,0.0
361.0,1.0
365.0,0.0
370.0,0.0
379.0,0.0
414.0,0.0
427.0,0.0
438.0,0.0
443.0,0.0
473.0,0.0
484.0,1.0
487.0,1.0
494.0,0.0
497.0,0.0
508.0,0.0
530.0,0.0
535.0,0.0
543.0,0.0
564.0,0.0
607.0,0.0
610.0,0.0
633.0,1.0
654.0,1.0
685.0,0.0
686.0,1.0
688.0,1.0
700.0,0.0
721.0,0.0
724.0,0.0
742.0,0.0
757.0,1.0
766.0,0.0
780.0,0.0
796.0,0.0
809.0,0.0
890.0,0.0
1001.0,1.0
1002.0,1.0
1109.0,1.0
1298.0,0.0
1329.0,1.0
1346.0,1.0
1356.0,1.0
1365.0,1.0
1409.0,0.0
1451.0,0.0
1475.0,0.0
1515.0,1.0
1528.0,1.0
1562.0,0.0
1593.0,1.0
1613.0,0.0
1649.0,0.0
1671.0,0.0
1719.0,0.0
1756.0,0.0
1777.0,0.0
1784.0,0.0
1809.0,0.0
1822.0,1.0
1827.0,0.0
1863.0,0.0
1902.0,1.0
1915.0,1.0
1928.0,0.0
1940.0,0.0
1954.0,1.0
1976.0,0.0
2000.0,1.0
2014.0,0.0
2026.0,0.0
2040.0,0.0
2060.0,0.0
2066.0,0.0
2074.0,0.0
2089.0,0.0
2112.0,0.0
2121.0,1.0
2145.0,0.0
2179.0,1.0
2203.0,1.0
2227.0,1.0
2240.0,0.0
2261.0,0.0
2304.0,0.0
2307.0,1.0
2350.0,0.0
2369.0,1.0
2379.0,0.0
2422.0,1.0
2475.0,0.0
2479.0,0.0
2518.0,0.0
2560.0,1.0
2588.0,0.0
2612.0,0.0
2652.0,0.0
2685.0,1.0
2688.0,1.0
2709.0,0.0
2747.0,1.0
2751.0,1.0
2786.0,1.0
2877.0,0.0
3017.0,0.0
3101.0,0.0
3153.0,1.0
3161.0,0.0
3201.0,1.0
3204.0,0.0
3305.0,0.0
3309.0,1.0
3367.0,0.0
3370.0,0.0
3432.0,1.0
3434.0,1.0
3438.0,1.0
3497.0,1.0
3505.0,1.0
3559.0,0.0
3568.0,0.0
3599.0,0.0
3603.0,0.0
3661.0,0.0
3668.0,0.0
