image_id,face_idx,gender,age,male_score,female_score
3221,1,Female,24,61.452,59.918
3221,2,Female,22,61.674,63.698
3224,0,Female,17,77.691,73.578
3232,0,Female,25,69.64,74.46
3232,1,Female,24,68.734,73.838
3232,2,Female,21,80.247,82.789
3232,3,Female,15,61.158,67.484
3232,4,Female,22,67.462,73.056
3247,0,Female,58,71.331,70.79
3298,0,Female,21,67.564,73.041
3299,0,Female,21,75.602,75.068
3312,0,Female,21,58.425,59.685
3313,0,Female,26,64.401,64.819
3313,1,Female,22,66.024,69.282
3316,0,Female,18,77.032,77.298
3321,0,Female,20,82.921,83.771
3340,0,Female,30,59.55,64.187
3342,0,Female,24,76.565,76.556
3344,0,Female,23,76.722,77.033
3345,0,Female,28,73.045,75.633
3346,0,Female,27,73.899,76.744
3372,0,Male,28,62.799,69.166
3376,0,Male,25,74.856,71.201
3376,1,Female,21,75.187,73.55
3466,0,Male,20,62.17,62.993
3508,0,Male,23,63.293,64.235
3508,1,Male,24,73.018,75.015
3509,0,Male,33,63.632,66.412
3510,0,Male,29,64.389,69.403
3510,1,Male,28,58.844,60.511
3510,2,Male,32,60.753,64.326
3510,3,Male,23,67.566,70.765
3525,0,Female,22,71.96,74.105
3604,0,Male,48,58.996,57.003
3641,0,Male,33,72.081,72.56
3679,0,Female,21,83.488,86.693
3745,0,Female,23,86.071,89.302
3745,1,Female,29,68.717,76.433
3746,0,Female,23,86.071,89.302
3746,1,Female,29,68.717,76.433
3761,0,Female,27,65.916,66.333
3762,0,Female,22,63.181,64.829
3763,0,Female,21,65.641,69.45
3769,0,Female,26,87.215,88.314
3769,1,Male,23,71.782,71.482
3799,0,Female,19,73.357,71.763
3805,0,Male,22,70.257,71.945
3805,1,Female,39,74.308,75.828
3806,0,Female,28,79.563,82.25
3808,0,Female,23,67.617,71.663
3812,0,Female,31,87.753,89.47
3812,1,Female,24,67.818,65.116
3813,0,Female,21,80.135,79.259
3836,0,Female,37,58.576,63.56
3904,0,Male,25,69.643,71.753
3980,0,Male,29,61.817,62.866
4003,0,Male,24,57.046,52.579
4051,0,Male,20,87.164,88.327
4051,1,Female,22,83.366,85.408
4052,0,Female,21,78.038,82.72
4053,0,Male,26,69.729,70.605
4084,0,Female,29,75.041,71.963
4088,0,Female,34,68.895,71.14
4212,0,Female,24,82.691,83.73
4229,0,Male,40,66.56,66.113
4297,0,Female,28,63.413,62.339
4318,0,Male,28,71.751,75.967
4322,0,Male,27,82.518,81.07
4360,0,Male,27,66.146,66.076
4361,0,Male,21,78.667,73.82
4436,0,Female,22,80.312,82.657
4453,0,Female,29,89.146,90.609
4542,0,Female,24,77.454,80.072
4650,0,Male,32,69.715,75.213
4655,0,Male,29,79.228,83.312
4666,0,Male,31,82.757,83.134
4671,0,Male,29,88.663,89.927
4701,0,Female,22,86.262,87.934
4707,0,Female,26,62.294,60.922
4710,0,Female,21,64.268,65.63
4711,0,Female,18,75.694,79.187
4716,0,Female,21,77.469,84.345
4719,0,Female,21,75.843,79.518
4727,0,Female,21,74.708,78.553
4741,0,Female,57,64.169,63.916
4806,0,Male,38,56.575,58.753
4838,0,Male,22,78.053,77.191
4846,0,Female,32,69.507,72.338
4848,0,Female,27,55.458,58.765
4863,0,Male,18,80.698,81.029
4865,0,Male,21,79.094,82.904
4870,0,Male,24,77.376,80.907
4872,0,Female,47,65.932,62.826
4872,1,Female,28,70.777,72.05
4872,2,Female,47,61.645,63.697
4888,0,Female,35,59.777,60.204
5097,0,Female,23,77.159,82.237
5098,0,Female,37,75.502,79.466
5169,0,Male,49,66.311,68.286
5174,0,Male,24,64.492,62.703
5193,0,Female,35,53.855,57.461
5285,0,Male,22,71.381,74.908
5298,0,Female,19,47.707,49.711
5299,0,Female,29,50.558,53.262
5301,0,Female,8,55.467,56.644
5322,0,Female,37,70.334,71.984
5346,0,Male,8,74.497,74.625
5352,0,Female,9,63.971,64.734
5723,0,Male,27,85.188,85.62
5724,0,Male,22,79.077,82.64
5733,0,Male,28,74.975,77.707
5735,0,Female,23,56.117,50.63
5741,0,Male,30,33.657,34.314
5820,0,Female,27,72.386,73.34
5842,0,Male,29,76.356,78.302
5851,0,Male,38,67.265,66.241
5858,0,Female,23,68.8,72.315
5861,0,Female,24,69.732,76.611
5862,0,Female,26,62.45,67.155
5868,0,Male,21,76.967,80.867
5871,0,Female,32,67.073,73.707
5872,0,Male,30,79.194,80.597
5906,0,Female,11,66.036,70.85
5941,0,Female,48,68.437,68.374
5942,0,Male,29,66.595,71.881
6020,0,Female,22,76.299,76.475
6021,0,Female,23,80.354,82.861
6084,0,Male,28,78.735,81.775
6085,0,Male,20,61.712,66.012
6344,0,Male,26,66.737,69.194
6344,1,Female,38,64.202,61.426
6352,0,Male,26,70.59,68.712
6364,0,Female,30,72.095,69.91
6365,0,Female,27,86.3,84.459
6373,0,Female,21,72.114,76.382
6374,0,Female,20,75.071,80.614
6374,1,Female,20,67.198,65.812
6381,0,Male,41,62.504,62.095
6383,0,Female,23,71.994,69.078
6406,0,Female,23,71.823,73.311
6414,0,Female,20,69.58,70.605
6438,0,Female,24,77.667,81.19
6692,0,Female,24,68.556,68.678
6692,1,Female,31,78.062,73.87
6775,0,Female,17,72.423,70.899
6788,0,Female,22,78.686,80.551
6789,0,Female,22,78.686,80.551
6797,0,Female,25,63.576,63.745
6800,0,Female,21,77.033,80.741
6801,0,Female,21,77.033,80.741
6865,0,Female,22,77.016,74.743
6869,0,Female,23,73.483,79.708
6955,0,Female,21,79.202,80.619
6955,1,Female,24,72.262,74.554
6955,2,Female,21,80.939,83.851
6955,3,Female,23,64.32,69.264
7017,0,Female,21,83.327,83.045
7141,0,Female,42,61.831,61.012
7146,0,Female,24,77.904,79.163
7146,1,Female,23,86.633,87.758
7154,0,Male,19,66.731,70.543
7154,1,Female,26,71.188,72.889
7155,0,Male,18,84.596,85.199
7156,0,Male,23,67.168,70.216
7156,1,Female,25,79.64,84.334
7193,0,Female,28,61.951,61.001
7197,0,Female,29,61.331,65.451
7209,0,Female,27,62.587,59.781
7211,0,Female,26,62.408,63.133
7215,0,Female,36,68.165,73.655
7242,0,Female,24,78.427,78.045
7242,1,Male,32,67.316,72.503
7242,2,Male,35,67.681,69.525
7252,0,Female,45,62.59,59.727
7256,0,Female,38,56.855,58.562
7256,1,Female,37,62.064,65.852
7256,2,Female,39,71.01,71.14
7256,3,Female,33,59.262,59.657
7256,4,Female,49,59.413,60.171
7265,0,Female,24,68.9,66.496
7453,0,Female,22,69.45,73.996
7466,0,Female,22,59.636,61.044
7469,0,Female,25,77.826,79.269
7473,0,Female,19,55.509,56.07
7476,0,Female,39,63.416,62.412
7524,0,Female,22,77.8,80.852
7525,0,Female,22,77.8,80.852
7528,0,Female,26,74.094,76.052
7580,0,Female,46,65.494,63.48
7585,0,Female,13,73.731,73.213
7602,0,Male,29,68.001,71.248
7634,0,Female,18,70.486,71.417
7634,1,Female,18,69.596,68.372
7634,2,Female,21,70.794,69.786
7634,3,Female,19,69.706,68.138
7691,0,Female,22,72.457,69.744
7697,0,Female,29,60.78,62.476
7731,0,Female,22,65.188,76.692
7746,0,Female,31,78.164,77.392
7753,0,Female,20,79.739,80.024
7756,0,Female,23,73.483,79.708
7757,0,Female,23,80.328,86.164
7776,0,Female,19,74.097,78.061
7779,0,Female,27,70.294,69.499
7782,0,Female,23,72.934,75.357
7800,0,Female,33,54.618,57.298
7824,0,Female,25,65.95,63.932
7827,0,Male,31,65.523,64.899
7846,0,Female,39,72.286,73.304
8039,0,Female,33,67.124,67.947
8039,1,Female,26,71.379,67.348
8042,0,Male,19,79.961,81.294
8083,0,Female,12,76.661,79.407
8184,0,Female,28,64.079,63.616
8211,0,Female,25,62.195,63.499
8215,0,Female,19,75.47,77.681
8218,0,Female,23,73.483,79.708
8224,0,Female,34,57.8,57.663
8234,0,Female,23,72.409,74.799
8235,0,Female,20,75.168,74.282
8236,0,Female,25,55.774,61.548
8247,0,Female,26,69.32,72.073
8248,0,Female,20,61.5,66.668
8251,0,Female,21,62.788,65.467
8251,1,Male,15,69.727,69.23
8337,0,Female,27,50.35,54.175
8339,0,Female,28,64.578,65.792
8340,0,Female,28,64.578,65.792
8456,0,Female,20,71.405,66.468
8456,1,Male,30,46.048,53.768
8462,0,Male,23,73.718,77.187
8463,0,Male,23,89.173,90.57
8464,0,Male,27,87.343,86.128
8543,0,Female,21,74.89,76.547
8543,1,Female,20,74.631,77.888
8543,2,Female,22,68.676,70.803
8543,3,Female,21,71.354,73.515
8584,0,Female,30,60.236,59.371
8584,1,Male,35,54.817,52.021
8584,2,Male,26,71.885,70.862
8674,0,Female,22,79.117,80.552
8709,0,Female,46,67.096,65.868
8769,0,Female,42,69.237,69.297
8785,0,Female,48,46.453,48.928
8786,0,Female,38,43.321,50.62
8801,0,Female,9,66.841,61.885
8827,0,Female,29,66.211,67.93
8839,0,Female,23,66.584,75.766
8839,1,Female,37,58.074,65.675
8875,0,Female,22,84.787,86.951
8912,0,Male,25,81.307,82.184
8978,0,Male,21,79.785,81.025
8981,0,Male,21,84.467,88.521
9011,0,Female,24,81.945,83.763
9040,0,Female,20,76.026,80.885
9049,0,Female,20,69.836,73.057
9077,0,Male,31,82.404,84.802
9082,0,Male,33,80.534,82.222
9124,0,Male,29,76.913,74.39
9132,0,Male,24,89.022,89.746
9151,0,Male,23,74.376,75.655
9156,0,Male,34,85.648,84.746
9191,0,Male,25,55.61,57.737
9196,0,Female,25,67.55,68.843
9249,0,Female,24,83.865,83.614
9255,0,Male,19,84.181,84.973
9265,0,Male,48,62.577,64.734
9425,0,Female,31,65.897,64.39
9429,0,Female,54,74.469,78.089
9430,0,Female,19,82.533,87.099
9507,0,Male,33,64.709,64.463
9654,0,Female,23,70.713,74.918
9655,0,Female,13,65.325,70.612
9656,0,Female,19,72.776,77.469
9657,0,Female,21,69.315,69.58
9659,0,Female,14,74.122,78.054
9676,0,Female,30,75.765,75.253
9679,0,Female,8,70.399,78.051
9682,0,Female,25,74.138,79.228
9750,0,Female,19,77.422,82.178
9784,0,Male,22,86.997,88.426
9785,0,Male,21,85.281,86.363
9786,0,Male,28,81.968,84.995
9789,0,Male,27,83.404,85.59
9807,0,Male,29,80.744,82.579
9809,0,Male,24,76.476,74.949
9811,0,Male,25,81.321,83.741
9813,0,Male,29,77.529,78.452
9841,0,Male,20,84.415,87.025
9842,0,Female,21,87.923,90.46
9844,0,Female,17,72.095,69.737
9855,0,Male,19,87.36,91.225
9856,0,Male,24,89.364,89.16
9858,0,Male,13,77.044,76.712
9862,0,Male,25,88.013,87.101
9863,0,Male,20,84.403,86.824
9866,0,Male,30,44.926,45.924
9866,1,Male,31,62.809,60.716
9866,2,Male,28,73.469,78.728
9867,0,Male,17,74.89,81.077
9874,0,Male,30,44.926,45.924
9874,1,Male,31,62.809,60.716
9874,2,Male,28,73.469,78.728
9876,0,Male,22,92.07,92.32
9878,0,Male,22,92.07,92.32
9879,0,Male,24,70.29,73.474
9880,0,Male,30,44.926,45.924
9880,1,Male,31,62.809,60.716
9880,2,Male,28,73.469,78.728
9884,0,Male,27,83.918,85.62
9887,0,Male,23,88.594,89.939
9888,0,Male,27,87.998,89.167
9889,0,Male,30,44.926,45.924
9889,1,Male,31,62.809,60.716
9889,2,Male,28,73.469,78.728
10001,0,Female,3,63.622,61.675
10015,0,Female,22,70.726,71.729
10017,0,Male,11,70.171,70.15
10017,1,Female,27,68.151,68.229
10019,0,Female,26,70.238,65.942
10019,1,Female,21,68.455,69.695
10025,0,Female,5,74.709,76.657
10026,0,Female,13,72.932,73.849
10031,0,Female,22,78.409,77.129
10031,1,Male,16,64.924,64.942
10085,0,Male,11,76.232,84.052
10132,0,Male,26,41.31,39.873
10191,0,Female,9,66.957,70.405
10197,0,Female,31,59.4,59.569
10241,0,Male,18,74.596,75.558
10251,0,Male,21,85.953,86.024
10252,0,Female,36,68.514,69.194
10253,0,Male,29,79.71,82.422
10337,0,Female,21,79.905,84.472
10338,0,Female,21,83.795,87.475
10344,0,Female,19,79.077,79.837
10368,0,Female,27,84.853,85.545
10369,0,Female,25,81.42,82.815
10373,0,Female,35,90.151,92.358
10381,0,Female,26,84.996,87.607
10382,0,Female,22,80.585,83.461
10389,0,Female,22,63.006,63.585
10694,0,Female,26,86.559,88.385
10695,0,Female,20,66.552,68.665
10695,1,Female,23,84.315,83.282
10757,0,Female,26,69.852,70.216
10761,0,Female,28,34.684,39.735
10761,1,Female,31,64.292,63.993
10761,2,Female,38,60.3,61.859
10762,0,Male,21,60.984,55.947
10762,1,Female,27,65.869,69.674
10846,0,Female,21,75.17,77.225
10850,0,Female,23,81.694,83.671
10855,0,Male,21,82.403,85.688
10905,0,Female,30,69.419,68.734
10980,0,Female,42,63.39,63.343
11100,0,Male,32,66.472,64.27
11120,0,Male,27,74.176,78.972
11142,0,Male,26,64.918,68.133
11142,1,Female,23,69.709,68.202
11145,0,Male,23,80.058,79.098
11165,0,Female,43,63.469,62.891
11201,0,Female,22,75.178,76.132
11201,1,Female,8,66.831,65.204
11210,0,Female,36,65.36,63.918
11211,0,Female,36,65.36,63.918
11223,0,Female,6,66.956,67.515
11224,0,Male,22,61.696,61.186
11225,0,Male,23,63.041,57.467
11263,0,Female,23,77.754,79.524
11266,0,Female,22,64.551,64.219
11269,0,Female,21,69.234,71.507
11308,0,Male,26,80.014,78.347
11388,0,Female,26,78.536,80.544
11389,0,Female,26,77.286,77.653
11397,0,Female,27,65.151,66.552
11398,0,Female,34,63.722,65.472
11441,0,Female,34,62.73,61.189
11573,0,Female,27,79.017,79.885
11578,0,Male,28,61.47,62.045
11579,0,Male,23,70.154,70.121
11579,1,Female,25,65.095,63.358
11583,0,Male,23,78.853,80.157
11593,0,Female,20,73.387,74.315
11603,0,Female,20,65.608,67.28
11612,0,Female,19,67.465,66.584
11613,0,Female,32,70.795,70.285
11613,1,Female,59,62.7,60.757
11614,0,Female,22,70.253,68.201
11615,0,Female,22,62.209,62.324
11616,0,Female,22,62.209,62.324
11617,0,Female,25,55.458,57.122
11657,0,Female,21,78.277,74.221
11660,0,Female,23,64.843,62.014
11661,0,Female,25,63.973,65.342
11827,0,Female,23,66.083,72.884
11829,0,Female,28,68.994,74.702
11837,0,Female,25,78.493,83.771
11838,0,Female,20,82.28,85.446
11845,0,Female,23,68.878,73.558
11845,1,Female,24,66.005,66.256
11845,2,Female,26,63.883,66.854
11846,0,Female,26,77.034,80.605
11849,0,Female,38,75.01,79.024
11851,0,Female,24,64.324,70.961
11853,0,Male,21,70.36,75.097
11855,0,Female,23,69.084,71.939
11858,0,Female,27,66.822,65.665
11860,0,Female,30,70.961,68.558
11862,0,Female,39,63.416,62.412
11863,0,Female,21,72.763,74.021
11888,0,Female,22,84.006,86.083
11888,1,Female,27,69.548,72.06
11925,0,Male,26,35.965,37.345
11925,1,Male,39,53.85,54.429
11926,0,Male,39,48.439,54.075
11947,0,Female,37,69.635,68.125
11948,0,Female,29,67.505,65.325
12006,0,Female,27,70.126,76.67
12006,1,Male,22,73.54,72.02
12009,0,Male,33,82.814,83.825
12011,0,Male,35,81.694,83.5
12013,0,Male,32,80.042,82.617
12082,0,Female,17,56.735,62.762
12082,1,Female,21,73.723,74.247
12082,2,Female,9,68.04,73.59
12082,3,Female,18,60.556,60.082
12083,0,Female,23,58.266,63.309
12086,0,Female,25,74.298,78.475
12086,1,Female,24,73.771,77.9
12086,2,Female,23,74.453,75.186
12086,3,Female,24,74.26,77.902
12087,0,Female,24,68.368,75.091
12089,0,Female,17,77.496,72.425
12090,0,Female,17,82.524,78.001
12100,0,Female,24,75.648,72.416
12101,0,Female,23,79.558,78.987
12103,0,Female,16,64.089,62.742
12103,1,Female,22,71.835,68.973
12103,2,Female,19,66.038,65.459
12104,0,Female,22,69.282,70.151
12106,0,Female,16,77.557,80.915
12107,0,Female,19,81.651,78.539
12111,0,Female,20,78.159,80.171
12113,0,Female,22,70.318,70.055
12114,0,Female,17,67.243,68.437
12115,0,Female,17,67.598,69.448
12118,0,Female,13,55.791,53.188
12121,0,Female,25,79.752,86.696
12141,0,Female,23,71.823,73.311
12143,0,Female,29,74.013,78.309
12170,0,Female,22,65.188,76.692
12187,0,Female,20,65.973,65.89
12189,0,Female,19,66.656,66.845
12198,0,Female,30,69.791,67.344
12198,1,Female,33,65.767,65.835
12199,0,Female,29,66.932,68.335
12204,0,Female,22,64.861,68.462
12205,0,Female,23,61.059,61.194
12208,0,Female,20,81.711,81.201
12209,0,Female,26,82.031,82.756
12210,0,Female,37,58.475,65.115
12211,0,Female,18,77.032,77.298
