image_id,face_idx,race,gender,age_group,race_scores,gender_scores,age_scores
14934,face0,Asian,Female,50-59,[9.716681e-04 9.059986e-07 9.990190e-01 8.374281e-06],[0.2684289 0.7315711],"[5.2262097e-12 2.1169242e-06 4.7395566e-01 6.9096728e-08 7.7545601e-06
 2.5155200e-02 4.7755590e-01 2.3239134e-02 8.4140680e-05]"
15015,face0,White,Male,50-59,[9.9853015e-01 2.7812790e-04 4.1847702e-04 7.7318249e-04],[0.5686076 0.4313923],"[5.3440072e-11 4.2474017e-01 4.3761784e-06 7.0235370e-07 1.0695755e-05
 2.9022945e-03 5.0911504e-01 6.2681332e-02 5.4539857e-04]"
15024,face0,White,Female,50-59,[9.9878347e-01 4.0976788e-04 2.2831565e-04 5.7847169e-04],[0.4467832  0.55321676],"[3.5840213e-11 4.1795307e-01 2.5715901e-06 3.7896339e-07 5.1916099e-06
 5.6581264e-03 5.3645462e-01 3.9652355e-02 2.7370115e-04]"
16201,face0,Asian,Female,10-19,[3.1862833e-02 3.2206506e-05 9.6796083e-01 1.4410932e-04],[0.41023007 0.5897699 ],"[2.01221830e-08 3.19543789e-04 8.59044552e-01 1.93344181e-06
 1.04092935e-04 3.05191241e-03 6.15007989e-02 5.55949546e-02
 2.03822087e-02]"
16281,face0,Asian,Female,50-59,[4.5844584e-04 2.3056167e-07 9.9953920e-01 2.1117553e-06],[0.3334538  0.66654617],"[8.6465152e-10 1.1760883e-03 2.3691464e-02 8.8493471e-06 2.9823442e-03
 3.6193094e-01 5.8586979e-01 2.3990816e-02 3.4979312e-04]"
16616,face0,Asian,Female,10-19,[3.4647998e-03 4.7375366e-07 9.9650657e-01 2.8118142e-05],[0.2510193  0.74898076],"[2.9257334e-12 9.7447435e-07 5.4831576e-01 3.9778250e-08 8.8283115e-05
 8.8414893e-02 3.5619378e-01 6.9413208e-03 4.4909841e-05]"
16620,face0,Asian,Female,50-59,[5.7108067e-03 4.5136408e-06 9.9415100e-01 1.3370391e-04],[0.27250773 0.7274923 ],"[4.8824677e-12 1.7321619e-06 3.0627567e-01 3.3456089e-08 6.0894818e-05
 8.1966624e-02 5.9805006e-01 1.3593077e-02 5.1929997e-05]"
16778,face0,Asian,Female,10-19,[3.8446468e-01 4.8049051e-06 6.1552280e-01 7.6814094e-06],[0.4019677  0.59803236],"[5.4093565e-09 5.6612375e-03 6.5638739e-01 1.8731556e-04 3.9912328e-02
 4.3149155e-02 1.5552533e-01 8.6499892e-02 1.2677298e-02]"
16778,face1,Asian,Female,10-19,[8.2955651e-02 5.5174987e-06 9.1687608e-01 1.6273731e-04],[0.27709094 0.72290903],"[5.3753707e-10 7.9453341e-05 5.5612320e-01 1.0908784e-05 6.8864007e-03
 5.5408426e-02 3.5980529e-01 2.1264002e-02 4.2223316e-04]"
16788,face1,Asian,Female,50-59,[1.5447630e-01 9.4981551e-06 8.4550250e-01 1.1724259e-05],[0.33069554 0.6693045 ],"[1.1179056e-08 4.5037540e-03 2.7246785e-01 3.5064255e-03 2.5144455e-01
 1.3783486e-01 2.8982469e-01 3.6146816e-02 4.2710872e-03]"
16788,face0,Asian,Female,50-59,[2.0709937e-02 1.5187909e-05 9.7926939e-01 5.4661323e-06],[0.34513545 0.65486455],"[7.4706058e-10 1.4811850e-04 1.8771994e-01 1.7068567e-07 1.7591969e-05
 4.8651639e-03 5.6454223e-01 2.3662008e-01 6.0866876e-03]"
17350,face0,White,Female,50-59,[0.96611935 0.00386147 0.01402687 0.01599226],[0.19653194 0.8034681 ],"[2.35396650e-11 1.42225945e-05 3.66041176e-02 3.09618677e-08
 6.02528453e-04 2.37721637e-01 7.04584479e-01 2.04384122e-02
 3.45089575e-05]"
