image_id,face_idx,race,gender,age_group,race_scores,gender_scores,age_scores
168,face0,Asian,Female,40-49,[6.1982330e-03 5.3433282e-06 9.9313575e-01 6.6068268e-04],[0.25806937 0.74193066],"[2.7371282e-12 4.1531530e-06 3.4691546e-02 3.7278447e-08 8.5777120e-04
 5.3316057e-01 4.2967847e-01 1.6018074e-03 5.6817421e-06]"
185,face0,Asian,Male,50-59,[5.4923877e-02 1.0228881e-05 9.4463849e-01 4.2738862e-04],[0.50325435 0.49674562],"[3.4698888e-09 3.6771249e-02 4.1019591e-04 2.8659861e-06 5.6722126e-04
 2.6360750e-01 6.5187854e-01 4.6009287e-02 7.5326487e-04]"
230,face0,White,Female,40-49,[9.9944639e-01 4.8404814e-07 5.3994462e-04 1.3242063e-05],[0.4166177 0.5833823],"[1.4811272e-11 1.3354488e-02 3.5703048e-05 3.0981391e-07 8.8503357e-04
 7.0129627e-01 2.8087750e-01 3.5198252e-03 3.0872896e-05]"
251,face0,White,Female,10-19,[9.4794363e-01 4.8499214e-06 5.1635146e-02 4.1634552e-04],[0.24317524 0.7568248 ],"[2.9046108e-09 4.8679413e-04 4.1761035e-01 1.6257452e-04 3.6019519e-02
 1.2740344e-01 3.9169008e-01 2.5303910e-02 1.3232733e-03]"
254,face0,Asian,Female,50-59,[1.8883349e-01 2.3349209e-04 8.0974770e-01 1.1853288e-03],[0.25305834 0.7469416 ],"[4.1468684e-10 2.9059238e-05 1.5269861e-01 3.0554490e-06 1.9948145e-04
 6.2513411e-02 7.6198775e-01 2.2381272e-02 1.8740515e-04]"
254,face1,Asian,Female,50-59,[7.0679620e-05 1.6489501e-05 9.9989915e-01 1.3648457e-05],[0.43530592 0.56469405],"[1.5869751e-10 1.4188413e-01 1.5236976e-05 2.2443726e-07 2.1273820e-05
 6.3451782e-02 7.5472766e-01 3.9555375e-02 3.4438900e-04]"
256,face0,Asian,Female,50-59,[1.5467538e-01 4.2271797e-05 8.4521317e-01 6.9184702e-05],[0.24351892 0.75648105],"[3.1202898e-11 9.7211441e-06 2.5033402e-01 5.2813692e-07 4.5109424e-05
 2.6994143e-02 6.9857907e-01 2.3884159e-02 1.5324514e-04]"
291,face0,Asian,Female,3-9,[0.02027008 0.00299831 0.89088345 0.08584817],[0.35881412 0.6411859 ],"[5.1090612e-12 8.0068636e-01 5.2622006e-08 6.0031113e-09 5.7996294e-06
 1.4851246e-02 1.8000744e-01 4.4288803e-03 2.0184147e-05]"
295,face0,Asian,Male,50-59,[1.7885445e-03 7.9705724e-06 9.9754065e-01 6.6282833e-04],[0.59113026 0.40886968],"[3.8080896e-11 2.9982004e-01 2.3548057e-06 3.7238632e-08 6.7106394e-06
 5.0547175e-02 6.2679064e-01 2.2709398e-02 1.2366557e-04]"
304,face0,Asian,Male,50-59,[6.0939291e-03 2.0848674e-04 9.9320209e-01 4.9546646e-04],[0.6185959  0.38140407],"[8.7328461e-10 1.6837010e-01 2.0995732e-05 4.9361947e-08 2.9481946e-06
 2.5287207e-02 7.1405989e-01 9.0725489e-02 1.5333431e-03]"
